case_id,priority,status,verified_subset,remaining_or_failure,evidence
BLD-01,P1,PASS,"Unsigned generic iOS app and XCTest targets compiled under the governed project; one nonfunctional AppIntents metadata warning was recorded.","No signed-device claim.","2026-09-19 README; generic iOS build result"
BLD-02,P1,PASS,"Rust 17 library plus 29 API tests passed; Clippy -D warnings and locked offline release build passed.","No installed-Linux binary claim.","2026-09-19 README; Rust run summary"
BLD-03,P0,BLOCKED,"Entitlements and package resolution are source-governed.","Fresh signed iPhone launch and entitlement inspection were not available.","final 78-test simulator run; source review only"
BLD-04,P0,BLOCKED,"Synthetic post-commit protection failure and backup-exclusion behavior passed.","Physical SQLite/WAL/SHM protection across lock/reboot requires a signed device.","final 78-test simulator run"
BLD-05,P1,NOT_RUN,"Migration and database-reopen subsets passed.","Release-build reopen plus visible corrupt-database error was not executed end to end.","final 78-test simulator run"
BLD-06,P0,PASS,"v0/v1 migration, exact row/anchor/receipt/retry-byte preservation, unknown/partial rejection, and injected transactional rollback executed.","No data reset was observed in the synthetic fixtures.","final 78-test simulator run; migration injection executed"
BLD-07,P0,PASS,"WAL, FULL synchronous, foreign keys, bounded readers, external-writer invalidation, and concurrent immutable batch reservation passed.","Physical power-loss behavior is outside this bounded case.","final 78-test simulator run"
HK-01,P0,BLOCKED,"Upload-without-separate-consent is covered in the local ledger.","Actual HealthKit consent and signed-device network observation were unavailable.","final 78-test simulator run"
HK-02,P0,BLOCKED,"Unavailable and receipt language is source-governed.","Per-type permission changes and device UI comparison require a seeded iPhone.","Source review only"
HK-03,P1,BLOCKED,"Zero-versus-missing value logic has synthetic coverage.","Actual empty Health store and unavailable-HealthKit device states were not observed.","final 78-test simulator run"
HK-04,P0,BLOCKED,"Large persisted-history paging tests passed.","The required 1201-sample HealthKit anchored-query trace requires HealthKit or an equivalent query fixture not evidenced here.","final 78-test simulator run"
HK-05,P0,PASS,"Failure after a prior write rolled back record, outbox, audit, and anchor; reopen and valid retry passed.","The migration and page fault-injection tests actually executed.","final 78-test simulator run"
HK-06,P0,BLOCKED,"Reopen and cancellation subsets passed.","Controlled app termination around real HealthKit page boundaries was not executed.","final 78-test simulator run"
HK-07,P0,BLOCKED,"Local deletion/revision and stale-resurrection protections passed.","Actual HealthKit addition/deletion collection was not available.","final 78-test simulator run; Rust tests"
HK-08,P1,NOT_RUN,"The prior-anchor preservation design is present.","Malformed archived HealthKit anchor and query-error recovery were not fully executed.","Source review only"
