case_id,priority,status,evidence,observed,remaining,recorded_at_utc,tester,source_identity,fixture_policy
BLD-01,P1,PASS,ios-device-build.log,Generic iOS app and XCTest compile; no compiler diagnostics.,Two AppIntents tool warnings remain; no signed device claim.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
BLD-02,P1,PASS,server-tests.log;server-clippy.log;server-release.log,All server tests pass; Clippy has no warnings; macOS release builds.,,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
BLD-03,P0,BLOCKED,ios-tests.json,Entitlements/source reviewed; simulator backup-exclusion flag test passes.,"No signed physical iPhone; file protection, backup behavior and first-unlock inspection remain.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
BLD-04,P0,BLOCKED,local-core.log;ios-tests.json,Synthetic post-commit protection failure retains page/anchor and closes upload; directory backup-exclusion attribute is tested.,"Physical SQLite/WAL/SHM protection and backup exclusion, lock and reboot behavior remain unverified.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
BLD-05,P1,NOT_RUN,local-core.log;ios-tests.json,"Schema version and integrity fixtures cover compatible unversioned data, future/partial/corrupt databases without reset; reopen retains anchors and queue bytes.",Release-app termination and corrupt-database error display remain unverified.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
HK-01,P0,BLOCKED,dashboard-empty.png;ios-tests.json,Empty dashboard and relevant local ledger behavior checked.,Actual HealthKit permission/query/observer and device termination fixtures were unavailable.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
HK-02,P0,BLOCKED,dashboard-empty.png;ios-tests.json,Empty dashboard and relevant local ledger behavior checked.,Actual HealthKit permission/query/observer and device termination fixtures were unavailable.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
HK-03,P1,BLOCKED,dashboard-empty.png;ios-tests.json,Empty dashboard and relevant local ledger behavior checked.,Actual HealthKit permission/query/observer and device termination fixtures were unavailable.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
HK-04,P0,BLOCKED,dashboard-empty.png;ios-tests.json,Empty dashboard and relevant local ledger behavior checked.,Actual HealthKit permission/query/observer and device termination fixtures were unavailable.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
HK-05,P0,PASS,ios-tests.json,"Failure after a prior row write rolls back data, outbox and anchor; reopened ledger confirms; valid retry and duplicate page pass.",,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
HK-06,P0,BLOCKED,dashboard-empty.png;ios-tests.json,Empty dashboard and relevant local ledger behavior checked.,Actual HealthKit permission/query/observer and device termination fixtures were unavailable.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
HK-07,P0,BLOCKED,dashboard-empty.png;ios-tests.json,Empty dashboard and relevant local ledger behavior checked.,Actual HealthKit permission/query/observer and device termination fixtures were unavailable.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
HK-08,P1,NOT_RUN,ios-tests.json,Stored core models and retry behavior compile and pass related tests.,Malformed HealthKit anchor/query faults and complete source/device metadata conversion fixtures not executed.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
HK-09,P1,NOT_RUN,ios-tests.json,Stored core models and retry behavior compile and pass related tests.,Malformed HealthKit anchor/query faults and complete source/device metadata conversion fixtures not executed.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
HK-10,P1,BLOCKED,dashboard-empty.png;ios-tests.json,Empty dashboard and relevant local ledger behavior checked.,Actual HealthKit permission/query/observer and device termination fixtures were unavailable.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
DATA-01,P0,NOT_RUN,ios-tests.json,HealthKit quantity unit conversions for all allowlisted units pass independent expected values.,End-to-end converted HealthKit sample through UI and wire remains.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
DATA-02,P0,BLOCKED,ios-tests.json;server-tests.log,Absolute Celsius conversion and receiver wrist metric-job selection pass.,Physical vital-detail display and native VM readback remain.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
DATA-03,P0,NOT_RUN,ios-tests.json;server-tests.log,"Zero temperature, unsupported type, non-finite local data and receiver invalid fields are tested.",Complete missing-value and every mismatched-unit display/projection matrix remains.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
DATA-04,P1,NOT_RUN,ios-tests.json,Activity value revision/reopen is tested.,"HealthKit activity-window boundaries, DST/leap/timezone and weekly clock-controlled rescans not executed.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
DATA-05,P1,NOT_RUN,ios-tests.json,"Date-boundary regressions cover actual HealthKit predicate construction with Gregorian calendar/era, retained timezone, DST, leap day, non-Gregorian input and allowed/rejected ranges; full activity import remains unexecuted.","Actual multi-window activity queries, timezone revisions, injected middle-window failure and persisted full-scan marker remain unverified.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
DATA-06,P1,NOT_RUN,ios-tests.json,Activity value revision/reopen is tested.,"HealthKit activity-window boundaries, DST/leap/timezone and weekly clock-controlled rescans not executed.",See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
DATA-07,P1,BLOCKED,ios-tests.json,Local workout parent/child storage is exercised.,Actual HealthKit-associated workout-event and heart-rate pages need a readable seeded store.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
DATA-08,P0,NOT_RUN,local-core.log;ios-tests.json,Parent deletion tombstones children; progress/retry persists and revised workout resets retry.,Process termination between save/offset and old child-batch response variants remain.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
DATA-09,P1,BLOCKED,ios-tests.json,Failed oldest job does not starve others; retry survives reopen; 2001 queued jobs finish over two passes.,Actual optional HealthKit details and inaccessible-workout integration remain.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SLP-01,P1,PASS,ios-tests.json,Executed deterministic interval/source/range/DST/page/history cases; large-history deletion and timezone re-keying are asserted.,,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SLP-02,P1,PASS,ios-tests.json,Executed deterministic interval/source/range/DST/page/history cases; large-history deletion and timezone re-keying are asserted.,,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SLP-03,P1,PASS,ios-tests.json,Executed deterministic interval/source/range/DST/page/history cases; large-history deletion and timezone re-keying are asserted.,,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SLP-04,P1,BLOCKED,ios-tests.json,Two nights and nap remain separate; complete-history selection covers a 20-day-old 10001-record session without a row cap.,Signed-device main-card display and populated flow remain unverified.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SLP-05,P1,NOT_RUN,ios-tests.json,Latest completed main sleep is preferred to a newer nap/unsettled session; nap-only fallback and complete interval averages are tested.,Signed-device cutoff/fallback rendering remains unverified.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SLP-06,P1,BLOCKED,ios-tests.json,Two nights/nap and in-bed intersection arithmetic pass.,Device main-card and detail presentation were not interactively checked.,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
SLP-07,P1,PASS,ios-tests.json,Executed deterministic interval/source/range/DST/page/history cases; large-history deletion and timezone re-keying are asserted.,,See results.json recorded_at_utc; actual run timestamps in evidence,Codex coordinated local acceptance,source-manifest.json,Synthetic fixtures with constants in named test source; no real Health records
